datetime,epoch,decision,confidence,bet_amount_bnb,ml_score,bull_amount,bear_amount,total_amount,bull_payout,bear_payout,bull_percent,bear_percent,bet_ratio,whale_bet_side,max_bet_on_bull,max_bet_on_bear,bull_whales,bear_whales,current_streak,current_streak_type,skip_rounds_remaining,last_loss_epoch,live_bnb_price,lock_price_previous,price_difference,btc_price,btc_5min_change,btc_influence,real_price_volatility,price_momentum,current_hour,current_day_of_week,hourly_bull_rate,total_bet_log,streak_valid,last_round_price_change,big_move_detected,wallet_number,claimed,result,reward_amount
2025-09-18T01:15:48.640358,413763,bull,HIGH (Against whale - ML too weak),0.0019283249906758,0.0350621522734331,1.0813429037979432,3.0096539257117696,4.090996829509713,3.783255815653964,1.3592914436307526,26.432259638967675,73.56774036103232,0.3592914436307525,bear,0.124675832775,2.4590372981101467,0,1,2,BULL,0,,986.20755612,986.26013415,-0.0525780299999496,116528.27,-0.0165254467426248,0.0,0.0009713198466845,-0.0191184408426907,1,3,0.4216867469879518,1.627473652156248,True,0.930134159999966,False,4,yes,loss,-0.0019283249906758
2025-09-18T02:32:16.780072,413778,bull,MEDIUM (Against bet ratio 0.47 + ML consensus),0.0011656630262848,0.0614101912161711,0.6229107019669309,1.3338906811141975,1.9568013830811288,3.1413834710211983,1.4669878205061109,31.83310822205736,68.16689177794264,0.4669878205061108,,0.1498514044118421,0.8295642899664972,0,1,3,BEAR,0,,985.50924087,985.51548719,-0.0062463200000593,116512.82,0.0302289856393914,0.0,0.0016997745823708,-0.0323223914093453,2,3,0.5609756097560976,1.0841080702279462,True,-0.9443228099999031,False,1,yes,win,0.0011366410545582
2025-09-18T02:42:30.591792,413780,bull,MEDIUM (Against bet ratio 0.48 + ML consensus),0.0011814406768028,0.0626718134815247,0.7464307303192675,1.5644432747672532,2.3108740050865206,3.095898803761872,1.4771222724136903,32.30079738991745,67.69920261008257,0.4771222724136905,,0.12,1.0511305807215736,0,1,2,BULL,0,,988.03700594,986.82689371,1.210112229999936,116593.64,0.0315468320314401,0.0,0.0013930326816874,-0.0232935936244111,2,3,0.5609756097560976,1.1972122044090203,True,0.8928969300000063,False,3,yes,win,0.0013336994820558
2025-09-18T13:45:36.807511,413910,bear,MEDIUM (Very strong ML signal: -0.323),0.0011994648259215,-0.3232870468755059,1.9989247611206828,2.257414133937639,4.256338895058322,2.129314208240652,1.8854931539008,46.96347754267092,53.03652245732907,0.8854931539008,,1.1991496337,0.5,1,0,2,BEAR,0,,993.40610514,995.46645362,-2.060348480000016,117107.14,-0.3343489361702133,-0.2,0.0012220226533311,0.0050325159390167,13,3,0.6097560975609756,1.659434756854531,True,-2.4933721999999534,True,1,yes,loss,-0.0011994648259215
2025-09-18T13:50:40.818475,413911,bull,MEDIUM (Very strong ML signal: 0.266),0.0011705374832014,0.2660939245157147,0.6286663181311519,0.4967868446416779,1.12545316277283,1.7902234147337264,2.2654649069554087,55.858949881332975,44.14105011866702,1.2654649069554085,,0.24957162495,0.2,0,0,3,BEAR,0,,994.47895357,993.40610514,1.0728484300000218,117448.25,0.3263109564028915,0.2,0.0013182664648767,-0.0200882406518396,13,3,0.6097560975609756,0.7539850327107436,True,-2.060348480000016,True,2,yes,loss,-0.0011705374832014
2025-09-18T19:52:46.628180,413982,bull,MEDIUM (Against bet ratio 0.25 + ML consensus),0.0011631236921439,0.0507000706491527,0.345121574375548,1.3783968840608132,1.7235184584363612,4.993945862569851,1.2503789571540571,20.02424590733162,79.97575409266838,0.250378957154057,,0.0794489111566322,0.918849258738478,0,1,2,BULL,0,,988.11239205,988.16706572,-0.0546736699999428,117310.53,0.0937025040206603,0.0,0.0006088053380177,-0.0111882087443366,19,3,0.4938271604938271,1.0019245952874565,True,0.3231850099999747,False,1,yes,win,0.0015392038872751
2025-09-18T23:11:43.802863,414021,bear,MEDIUM (Against bet ratio 2.70 + ML consensus),0.0010988478126852,-0.0558677741271877,2.025450244553129,0.7488997873627052,2.7743500319158345,1.3697448453136076,3.7045677922888345,73.006297736499,26.993702263501,2.704567792288834,,1.2275664156,0.2,1,0,4,BEAR,0,,981.84682893,980.19517085,1.651658080000061,116812.95,0.0461291707566413,0.0,0.0009828325695239,-0.0430788211115659,23,3,0.5185185185185185,1.328228190900893,True,-0.8087981500000296,False,4,yes,loss,-0.0010988478126852
2025-09-19T05:08:41.794825,414091,bull,HIGH (Follow whale - ML agrees),0.0018918732111756,-0.127685094513173,2.820097490183503,0.9469584046879252,3.767055894871429,1.3357892441606003,3.9780584619372807,74.86210900196252,25.13789099803748,2.9780584619372807,bull,2.369293468079703,0.35,1,0,2,BULL,0,,992.62827384,993.82035836,-1.1920845199999803,116932.21,-0.0202127554970524,0.0,0.0009968873700416,0.0302474958964664,5,4,0.4891304347826087,1.5617289015307938,True,3.3914883600000394,True,2,yes,win,0.0011595362096312
2025-09-19T07:46:53.606781,414122,bull,MEDIUM (Against bet ratio 0.40 + ML consensus),0.0012211542292645,0.0543400742580238,0.6060816965296972,1.4995487863170145,2.105630482846712,3.474169398124265,1.404176044194115,28.78385839619418,71.21614160380582,0.404176044194115,,0.1591618190422202,1.050492223471311,0,1,1,BEAR,0,,995.88025913,996.59888077,-0.7186216400000376,116962.48,0.0098930397377775,0.0,0.0006008088716328,0.0227157359448604,7,4,0.4712643678160919,1.1332167488296694,True,-0.3831670299999814,False,3,yes,win,0.0013750547947197
2025-09-19T07:57:06.818359,414124,bull,HIGH (Against whale - ML too weak),0.0019170040003166,-0.0311302885261017,4.798489878218631,2.75362235309951,7.552112231318141,1.5738518623533602,2.742610010707312,63.538381465248776,36.46161853475123,1.742610010707312,bear,1.0,2.295049600388262,2,1,1,BULL,0,,994.60734667,996.07097232,-1.46362565000004,116916.89,-0.0164448760571121,0.0,0.0006039623636228,-0.0001597025178392,7,4,0.4712643678160919,2.1461782970367898,True,0.1907131899999967,False,5,yes,win,0.0012678842618517
